Project Name,Address,SAMIS Project ID,Building ID,Management name,BIN (NYC DOB),Floodplain,Tract GEOID (2020 Census),School district,School district SDL code,Latitude,Longitude,County,Total project units,Owner name,Number of bldgs in project,Building units,Date in service,Construction Type (New / Rehab),Tax Parcel Print Key,Congressional District (current),Assembly District (current),State Senate District (current),x,y
ATZEI TIMURIM,"1 NICKELSBURG RD, KIRYAS JOEL, 10950",19980076-01002,0088316,KIRYAS JOEL COMMUNITY HOUSING INC,NA (Outside NYC),,36071015010,KIRYAS JOEL VILLAGE UFSD,441202,41.35170919,-74.1742894,ORANGE,48,"SHAMROCK AFFORDABLE HOUSING ASSOC., L.P.",8,6,2/6/2001,NEW,307.00-1-4.211,18,99,42,569073.3812663777,4578130.160258368
ATZEI TIMURIM,"2 TZFAS RD, KIRYAS JOEL, 10950",19980076-01002,0088317,KIRYAS JOEL COMMUNITY HOUSING INC,NA (Outside NYC),100-year,36071015005,KIRYAS JOEL VILLAGE UFSD,441202,41.35002331,-74.17518551,ORANGE,48,"SHAMROCK AFFORDABLE HOUSING ASSOC., L.P.",8,6,2/6/2001,NEW,307.00-1-3.21,18,99,42,569000.1982676063,4577942.2842331445
ATZEI TIMURIM,"2 TZFAS RD, KIRYAS JOEL, 10950",19980076-01002,0088318,KIRYAS JOEL COMMUNITY HOUSING INC,NA (Outside NYC),100-year,36071015005,KIRYAS JOEL VILLAGE UFSD,441202,41.35002331,-74.17518551,ORANGE,48,"SHAMROCK AFFORDABLE HOUSING ASSOC., L.P.",8,6,2/6/2001,NEW,307.00-1-3.21,18,99,42,569000.1982676063,4577942.2842331445
ATZEI TIMURIM,"4 TZFAS RD, KIRYAS JOEL, 10950",19980076-01002,0088319,KIRYAS JOEL COMMUNITY HOUSING INC,NA (Outside NYC),,36071015005,KIRYAS JOEL VILLAGE UFSD,441202,41.35073738,-74.17466989,ORANGE,48,"SHAMROCK AFFORDABLE HOUSING ASSOC., L.P.",8,6,2/6/2001,NEW,307.00-1-3.21,18,99,42,569042.578577584,4578021.969074065
ATZEI TIMURIM,"4 TZFAS RD, KIRYAS JOEL, 10950",19980076-01002,0088320,KIRYAS JOEL COMMUNITY HOUSING INC,NA (Outside NYC),,36071015005,KIRYAS JOEL VILLAGE UFSD,441202,41.35073738,-74.17466989,ORANGE,48,"SHAMROCK AFFORDABLE HOUSING ASSOC., L.P.",8,6,2/6/2001,NEW,307.00-1-3.21,18,99,42,569042.578577584,4578021.969074065
AUDUBON HALL,"440 W 163RD ST, NEW YORK, 10032",19990148-01108,0088398,"ARETE MANAGEMENT, LLC",1087429,,36061024301,NYC GEOG DIST # 6 - MANHATTAN,310600,40.83601023,-73.9385657,NEW YORK,70,"AUDUBON HALL, L.P.",1,70,1/2/2002,NEW,1-2110-15,13,72,31,589489.8880497812,4521094.9648590665
AUSTIN 147,"880 E 147TH ST, BRONX, 10455",20186006-02197,0258811,"PRESTIGE MANAGEMENT, INC.",2004081,,36005003100,NYC GEOG DIST # 7 - BRONX,320700,40.81022194,-73.90445213,BRONX,80,AUSTIN 147 LLC,2,64,6/21/2022,NEW,2-2600-1101,14,84,29,592401.8535910834,4518267.636433713
AUSTIN 147,"880 E 147TH ST, BRONX, 10455",20186006-02197,0265178,"PRESTIGE MANAGEMENT, INC.",2004081,,36005003100,NYC GEOG DIST # 7 - BRONX,320700,40.81022194,-73.90445213,BRONX,80,AUSTIN 147 LLC,2,16,6/21/2022,NEW,2-2600-1102,14,84,29,592401.8535910834,4518267.636433713
AUSTIN CORNERS,"5 ADIRONDACK AVE, WARRENSBURG, 12885",19980049-01181,0079516,HOMEFRONT DEVELOPMENT CORP.,NA (Outside NYC),,36113073000,WARRENSBURG CSD,631201,43.49742828,-73.77477795,WARREN,8,HOMEFRONT DEVELOPMENT CORP.,1,8,11/15/1999,NEW,211.13-1-2,21,114,45,599056.866342394,4816784.846537386
AUSTIN COURT APTS.,"42 MAPLEHURST DR, PHOENIX, 13135",19960209-00862,0066637,PATRICK ROCK,NA (Outside NYC),,36075020901,PHOENIX CSD,462001,43.24147977,-76.29696157,OSWEGO,24,"CHRISTOPHER ASSOCIATES III, L.P.",2,16,5/31/1998,NEW,304.9-1-1.3,24,120,50,394701.1567358061,4788447.816006749
AUSTIN COURT APTS.,"42 MAPLEHURST DR, PHOENIX, 13135",19960209-00862,0066638,PATRICK ROCK,NA (Outside NYC),,36075020901,PHOENIX CSD,462001,43.24147977,-76.29696157,OSWEGO,24,"CHRISTOPHER ASSOCIATES III, L.P.",2,8,5/31/1998,NEW,304.9-1-1.3,24,120,50,394701.1567358061,4788447.816006749
AUSTIN MANOR,"395 TONAWANDA ST, BUFFALO, 14207",19980089-00894,0079505,PEOPLE INC.,NA (Outside NYC),,36029005900,BUFFALO CITY SD,140600,42.94025699,-78.8984543,ERIE,24,"AUSTIN MANOR HOUSING, L.P.",1,24,12/7/1999,NEW,88.26-4-25.2,26,149,61,181917.78962682036,4761558.255537066
AVALLONE APARTMENTS,"21 FORT POND RD, EAST HAMPTON, 11954",19901153-01254,0002185,EAST HAMPTON HOUSING AUTHORITY,NA (Outside NYC),,36103201007,MONTAUK UFSD,580306,41.04458628,-71.94797093,SUFFOLK,17,EAST HAMPTON HOUSING AUTHORITY,1,17,2/11/1993,REHAB,27.00-2-24,1,1,1,756524.1840719285,4548195.242903332
AVON ON THE GREEN,"41 PROSPECT ST, AVON, 14414",19960472-00798,0075451,LANDSMAN REAL ESTATE SERVICES,NA (Outside NYC),,36051030300,AVON CSD,240101,42.91277026,-77.74592018,LIVINGSTON,35,AVON LIMITED PARTNERSHIP,1,35,1/31/1999,NEW,34.6-2-7.1,24,133,54,275861.83998809085,4754786.611152535
BAINBRIDGE MANOR,"291 BAINBRIDGE ST, Brooklyn, 11233",20106048-01910,0198199,NEW DESTINY HOUSING CORP,3420455,,36047038100,NYC GEOG DIST #16 - BROOKLYN,331600,40.68182453,-73.92505516,KINGS,23,291 BAINBRIDGE LP,1,23,11/19/2013,NEW,3-1683-85,8,56,25,590838.6594930585,4503993.044700116
"BALDWIN/FORT EDWARD, L.P.","41 LYDIUS ST, FORT EDWARD, 12828",19980412-00931,0079478,BALDWIN REAL ESTATE CORPORATION,NA (Outside NYC),,36115088002,FORT EDWARD UFSD,640601,43.26651665,-73.58100221,WASHINGTON,40,"BALDWIN/FORT EDWARD, L.P.",6,8,12/31/1998,REHAB,171.6-2-40,21,113,43,615159.7520598465,4791389.205556608
"BALDWIN/FORT EDWARD, L.P.","41 LYDIUS ST, FORT EDWARD, 12828",19980412-00931,0097318,BALDWIN REAL ESTATE CORPORATION,NA (Outside NYC),,36115088002,FORT EDWARD UFSD,640601,43.26651665,-73.58100221,WASHINGTON,40,"BALDWIN/FORT EDWARD, L.P.",6,8,12/31/1998,REHAB,171.6-2-40,21,113,43,615159.7520598465,4791389.205556608
"BALDWIN/FORT EDWARD, L.P.","41 LYDIUS ST, FORT EDWARD, 12828",19980412-00931,0097319,BALDWIN REAL ESTATE CORPORATION,NA (Outside NYC),,36115088002,FORT EDWARD UFSD,640601,43.26651665,-73.58100221,WASHINGTON,40,"BALDWIN/FORT EDWARD, L.P.",6,6,12/31/1998,REHAB,171.6-2-40,21,113,43,615159.7520598465,4791389.205556608
"BALDWIN/FORT EDWARD, L.P.","41 LYDIUS ST, FORT EDWARD, 12828",19980412-00931,0097320,BALDWIN REAL ESTATE CORPORATION,NA (Outside NYC),,36115088002,FORT EDWARD UFSD,640601,43.26651665,-73.58100221,WASHINGTON,40,"BALDWIN/FORT EDWARD, L.P.",6,8,12/31/1998,REHAB,171.6-2-40,21,113,43,615159.7520598465,4791389.205556608
"BALDWIN/FORT EDWARD, L.P.","41 LYDIUS ST, FORT EDWARD, 12828",19980412-00931,0097321,BALDWIN REAL ESTATE CORPORATION,NA (Outside NYC),,36115088002,FORT EDWARD UFSD,640601,43.26651665,-73.58100221,WASHINGTON,40,"BALDWIN/FORT EDWARD, L.P.",6,4,12/31/1998,REHAB,171.6-2-40,21,113,43,615159.7520598465,4791389.205556608
"BALDWIN/FORT EDWARD, L.P.","41 LYDIUS ST, FORT EDWARD, 12828",19980412-00931,0097322,BALDWIN REAL ESTATE CORPORATION,NA (Outside NYC),,36115088002,FORT EDWARD UFSD,640601,43.26651665,-73.58100221,WASHINGTON,40,"BALDWIN/FORT EDWARD, L.P.",6,6,12/31/1998,REHAB,171.6-2-40,21,113,43,615159.7520598465,4791389.205556608
BALFOUR COURT APTS.,"1470 STERLING PL, Brooklyn, 11213",19950346-00736,0059322,NORWAX ASSOCIATES,3036858,,36047034901,NYC GEOG DIST #17 - BROOKLYN,331700,40.671172,-73.929863,KINGS,94,"BALFOUR COURT, L.P.",3,31,2/28/1997,REHAB,3-1379-19,9,55,20,590446.7608186019,4502805.589537781
BALFOUR COURT APTS.,"1484 STERLING PL, Brooklyn, 11213",19950346-00736,0059323,NORWAX ASSOCIATES,3036859,,36047034901,NYC GEOG DIST #17 - BROOKLYN,331700,40.67130039,-73.92956183,KINGS,94,"BALFOUR COURT, L.P.",3,31,2/28/1997,REHAB,3-1379-24,9,55,20,590472.0422650675,4502820.151538572
BALFOUR COURT APTS.,"1488 STERLING PL, Brooklyn, 11213",19950346-00736,0059324,NORWAX ASSOCIATES,3036860,,36047034901,NYC GEOG DIST #17 - BROOKLYN,331700,40.671125,-73.929319,KINGS,94,"BALFOUR COURT, L.P.",3,32,2/28/1997,REHAB,3-1379-27,9,55,20,590492.8034426024,4502800.932134118
BALLSTON PINES,"155 ROWLAND ST, MILTON, 12020",19980028-00866,0079482,TM ASSOCIATES MANAGEMENT INC,NA (Outside NYC),,36091061403,BALLSTON SPA CSD,521301,43.025749,-73.84875478,SARATOGA,32,BALLSTON AREA LIMITED PARTNERSHIP,1,32,5/31/1999,NEW,203.00-3-1.112,20,112,44,593797.3534808365,4764317.211413216
BANK STREET SENIOR APARTMENTS,"16 BANK ST, BATAVIA, 14020",20086011-01684,0169953,"CONIFER MANAGEMENT, LLC",NA (Outside NYC),,36037950800,BATAVIA CITY SD,180300,42.99860318,-78.18096917,GENESEE,37,"BANK STREET SENIOR HOUSING, LLC",1,37,8/30/2010,REHAB,18020084.011-1-33.1/0101,24,139,57,240709.07838031682,4765571.0054824045
BARN RAISERS FAMILY HOUSING,"83 3RD AVE, ALBANY, 12202",19901532-00017,0012570,SONDRA YOUNG,NA (Outside NYC),,36001002300,ALBANY CITY SD,10100,42.64020022,-73.76243512,ALBANY,8,"CONROY HDF, INC.",4,2,7/14/1991,NEW,76.64-2-59,20,109,46,601459.1076765878,4721603.206922714
BARN RAISERS FAMILY HOUSING,"85 3RD AVE, ALBANY, 12202",19901532-00017,0012571,SONDRA YOUNG,NA (Outside NYC),,36001002300,ALBANY CITY SD,10100,42.64024144,-73.76249836,ALBANY,8,"CONROY HDF, INC.",4,2,7/14/1991,NEW,76.64-2-60,20,109,46,601453.8560346811,4721607.708265995
BARN RAISERS FAMILY HOUSING,"87 3RD AVE, ALBANY, 12202",19901532-00017,0012572,SONDRA YOUNG,NA (Outside NYC),,36001002300,ALBANY CITY SD,10100,42.64028492,-73.76256455,ALBANY,8,"CONROY HDF, INC.",4,2,7/14/1991,NEW,76.64-2-61,20,109,46,601448.3588752327,4721612.457032592
BARN RAISERS FAMILY HOUSING,"89 3RD AVE, ALBANY, 12202",19901532-00017,0012573,SONDRA YOUNG,NA (Outside NYC),,36001002300,ALBANY CITY SD,10100,42.64032398,-73.76263393,ALBANY,8,"CONROY HDF, INC.",4,2,7/14/1991,NEW,76.64-2-62,20,109,46,601442.60737635,4721616.711164769
BATAVIA SPECIAL NEEDS APARTMENTS,"555 E MAIN ST, BATAVIA, 14020",20080021-01707,0175875,DEPAUL PROPERTIES INC,NA (Outside NYC),,36037950900,BATAVIA CITY SD,180300,42.99581966,-78.16707916,GENESEE,42,"BATAVIA SPECIAL NEEDS APARTMENTS, L.P.",1,42,12/15/2009,NEW,84.12-3-51.1,24,139,57,241829.71389913364,4765219.044762356
BAY STREET SENIOR HOUSING,"533 BAY ST, Staten Island, 10304",20136026-02037,0232725,PROGRESSIVE MANAGEMENT OF NY,5113073,500-year,36085002100,NYC GEOG DIST #31 - STATEN ISLAND,353100,40.62893037,-74.07608913,RICHMOND,67,BAY STREET HOUSING LP,1,67,11/30/2017,NEW,5-490-4,11,61,23,578136.9790423122,4497976.3845187705
BAYSHORE SENIOR RESIDENCE,"34 PARK AVE, ISLIP, 11706",20176011-02212,0255537,LTD. MANAGEMENT,NA (Outside NYC),,36103147201,BAY SHORE UFSD,580501,40.72171525,-73.25120504,SUFFOLK,75,BAY SHORE SENIOR RESIDENCE LLC,1,75,7/27/2021,NEW,393.4-1-2,2,7,8,647696.646508113,4509336.297040846
BEACH 66 APARTMENTS,"307 BEACH 66TH ST, QUEENS, 11692",19970559-00864,0076405,MGMT DEVELOPMENT LLC,4449712,100-year,36081096400,NYC GEOG DIST #27 - QUEENS,342700,40.59155996,-73.79521102,QUEENS,21,BEACH 66 PROPERTIES LLC,7,3,9/7/1999,NEW,4-15913-93,5,31,10,601948.6626837184,4494115.430895607
BEACH 66 APARTMENTS,"309 BEACH 66TH ST, QUEENS, 11692",19970559-00864,0076406,MGMT DEVELOPMENT LLC,4449713,100-year,36081096400,NYC GEOG DIST #27 - QUEENS,342700,40.5916174,-73.79521621,QUEENS,21,BEACH 66 PROPERTIES LLC,7,3,9/7/1999,NEW,4-15913-92,5,31,10,601948.1362483513,4494121.801037071
BEACH 66 APARTMENTS,"311 BEACH 66TH ST, QUEENS, 11692",19970559-00864,0076407,MGMT DEVELOPMENT LLC,4449714,100-year,36081096400,NYC GEOG DIST #27 - QUEENS,342700,40.5916755,-73.7952213,QUEENS,21,BEACH 66 PROPERTIES LLC,7,3,9/7/1999,NEW,4-15913-90,5,31,10,601947.6172732445,4494128.244557985
BEACH 66 APARTMENTS,"315 BEACH 66TH ST, QUEENS, 11692",19970559-00864,0076408,MGMT DEVELOPMENT LLC,4449715,100-year,36081096400,NYC GEOG DIST #27 - QUEENS,342700,40.59173301,-73.79522639,QUEENS,21,BEACH 66 PROPERTIES LLC,7,3,9/7/1999,NEW,4-15913-88,5,31,10,601947.0991949688,4494134.622585782
BEACH 66 APARTMENTS,"324 BEACH 66TH ST, QUEENS, 11692",19970559-00864,0076409,MGMT DEVELOPMENT LLC,4459154,100-year,36081096400,NYC GEOG DIST #27 - QUEENS,342700,40.59193969,-73.79486383,QUEENS,21,BEACH 66 PROPERTIES LLC,7,3,9/7/1999,NEW,4-15910-29,5,31,10,601977.4654357244,4494157.98507072
BEACH 66 APARTMENTS,"328 BEACH 66TH ST, QUEENS, 11692",19970559-00864,0076410,MGMT DEVELOPMENT LLC,4459157,100-year,36081096400,NYC GEOG DIST #27 - QUEENS,342700,40.5920036,-73.79487231,QUEENS,21,BEACH 66 PROPERTIES LLC,7,3,9/7/1999,NEW,4-15910-31,5,31,10,601976.6507435525,4494165.069605346
BEACH 66 APARTMENTS,"330 BEACH 66TH ST, QUEENS, 11692",19970559-00864,0076411,MGMT DEVELOPMENT LLC,4459158,100-year,36081096400,NYC GEOG DIST #27 - QUEENS,342700,40.59206211,-73.79488001,QUEENS,21,BEACH 66 PROPERTIES LLC,7,3,9/7/1999,NEW,4-15910-32,5,31,10,601975.9102617006,4494171.555614242
BEACH STREET APARTMENTS PHASE II,"334 BEACH 54TH ST, QUEENS, 11692",20010728-01407,0115541,THE WAVECREST MANAGEMENT TEAM,4532559,100-year,36081097204,NYC GEOG DIST #27 - QUEENS,342700,40.59343526,-73.78412831,QUEENS,32,"BEACH STREET II, L.P.",1,32,10/29/2004,NEW,4-15890-30,5,31,10,602883.623222305,4494336.49176609
BEAUMONT APARTMENTS,"2340 BEAUMONT AVE, BRONX, 10458",19940540-00833,0047653,WAVECREST MANAGEMENT,2115566,,36005039100,NYC GEOG DIST #10 - BRONX,321000,40.85339552,-73.88470676,BRONX,56,2340 BEAUMONT OWNERS LLC,1,56,11/12/1998,NEW,2-3103-20,15,78,33,594006.2634201464,4523081.308881736
BEDFORD COMMUNITY DEV. CORP.,"2255 BEDFORD AVE, Brooklyn, 11226",19940148-00733,0047496,VINCENT RAGOSTA,3117296,,36047079400,NYC GEOG DIST #17 - BROOKLYN,331700,40.64901806,-73.95561288,KINGS,45,RAMOGO REALTY LLC,1,45,11/24/1996,REHAB,3-5107-3,9,42,21,588299.5839280016,4500320.19877033
BEECHWOOD,"1318 E FAYETTE ST, SYRACUSE, 13210",20030323-01389,0120003,HOUSING VISIONS UNLIMITED INC.,NA (Outside NYC),,36067003400,SYRACUSE CITY SD,421800,43.04822248,-76.12826226,ONONDAGA,20,"EAST BEECHWOOD, LLC",8,2,12/20/2005,REHAB,47.00-1-8,22,128,48,408108.73775338475,4766787.483596916
BEECHWOOD,"1405 E FAYETTE ST, SYRACUSE, 13210",20030323-01389,0120004,HOUSING VISIONS UNLIMITED INC.,NA (Outside NYC),,36067003400,SYRACUSE CITY SD,421800,43.04854129,-76.12724536,ONONDAGA,20,"EAST BEECHWOOD, LLC",8,2,8/15/2005,REHAB,31.00-14-14,22,128,48,408192.0354035101,4766821.77475061
BEECHWOOD,"1409 E FAYETTE ST, SYRACUSE, 13210",20030323-01389,0120005,HOUSING VISIONS UNLIMITED INC.,NA (Outside NYC),,36067003400,SYRACUSE CITY SD,421800,43.04854562,-76.12691181,ONONDAGA,20,"EAST BEECHWOOD, LLC",8,2,4/4/2005,REHAB,31.00-14-12,22,128,48,408219.20792683447,4766821.890768916
BEECHWOOD,"300 S BEECH ST, SYRACUSE, 13210",20030323-01389,0120006,HOUSING VISIONS UNLIMITED INC.,NA (Outside NYC),,36067003400,SYRACUSE CITY SD,421800,43.04819889,-76.12784281,ONONDAGA,20,"EAST BEECHWOOD, LLC",8,4,2/15/2005,REHAB,47.00-1-9,22,128,48,408142.86494049645,4766784.40472629
BEECHWOOD,"1411-1413 E FAYETTE ST, SYRACUSE, 13210",20030323-01389,0120007,HOUSING VISIONS UNLIMITED INC.,NA (Outside NYC),,36067003400,SYRACUSE CITY SD,421800,43.04842794,-76.12736305,ONONDAGA,20,"EAST BEECHWOOD, LLC",8,3,8/14/2005,REHAB,31.00-14-11.1,22,128,48,408182.28102086147,4766809.315901687
BEECHWOOD,"1415 E FAYETTE ST, SYRACUSE, 13210",20030323-01389,0120009,HOUSING VISIONS UNLIMITED INC.,NA (Outside NYC),,36067003400,SYRACUSE CITY SD,421800,43.04856489,-76.12644364,ONONDAGA,20,"EAST BEECHWOOD, LLC",8,2,5/8/2005,REHAB,31.00-14-9.1,22,128,48,408257.3668739934,4766823.518822421
BEECHWOOD,"1417 E FAYETTE ST, SYRACUSE, 13210",20030323-01389,0120010,HOUSING VISIONS UNLIMITED INC.,NA (Outside NYC),,36067003400,SYRACUSE CITY SD,421800,43.04856178,-76.12629312,ONONDAGA,20,"EAST BEECHWOOD, LLC",8,3,7/18/2005,REHAB,31.00-14-8,22,128,48,408269.62137473945,4766823.008922104
BEECHWOOD,"1421 E FAYETTE ST, SYRACUSE, 13210",20030323-01389,0120011,HOUSING VISIONS UNLIMITED INC.,NA (Outside NYC),,36067003400,SYRACUSE CITY SD,421800,43.04855786,-76.12602206,ONONDAGA,20,"EAST BEECHWOOD, LLC",8,2,11/3/2004,REHAB,31.00-14-6,22,128,48,408291.6920784885,4766822.2773646135
BEECHWOOD APARTMENTS - ALBION,"50 LYDUN DR EXT, ALBION, 14411",20096077-01782,0002677,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36073040702,ALBION CSD,450101,43.25480305,-78.18697355,ORLEANS,30,"BEECHWOOD APARTMENTS, LLC",5,5,9/28/2011,REHAB,62.14-1-1.22,24,139,62,241302.69108403503,4794043.694344259
BEECHWOOD APARTMENTS - ALBION,"50 LYDUN DR EXT, ALBION, 14411",20096077-01782,0002678,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36073040702,ALBION CSD,450101,43.25480305,-78.18697355,ORLEANS,30,"BEECHWOOD APARTMENTS, LLC",5,7,4/28/2011,REHAB,62.14-1-1.22,24,139,62,241302.69108403503,4794043.694344259
BEECHWOOD APARTMENTS - ALBION,"50 LYDUN DR EXT, ALBION, 14411",20096077-01782,0002679,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36073040702,ALBION CSD,450101,43.25480305,-78.18697355,ORLEANS,30,"BEECHWOOD APARTMENTS, LLC",5,7,8/10/2011,REHAB,62.14-1-1.22,24,139,62,241302.69108403503,4794043.694344259
BEECHWOOD APARTMENTS - ALBION,"50 LYDUN DR EXT, ALBION, 14411",20096077-01782,0002680,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36073040702,ALBION CSD,450101,43.25480305,-78.18697355,ORLEANS,30,"BEECHWOOD APARTMENTS, LLC",5,4,12/7/2011,REHAB,62.14-1-1.22,24,139,62,241302.69108403503,4794043.694344259
BEECHWOOD APARTMENTS - ALBION,"50 LYDUN DR EXT, ALBION, 14411",20096077-01782,0002681,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36073040702,ALBION CSD,450101,43.25480305,-78.18697355,ORLEANS,30,"BEECHWOOD APARTMENTS, LLC",5,7,6/16/2011,REHAB,62.14-1-1.22,24,139,62,241302.69108403503,4794043.694344259
BELLA VISTA II,"48-52 COUNTY RTE 78, MIDDLETOWN, 10940",20166019-02026,0249506,DEVON MANAGEMENT CORPORATION,NA (Outside NYC),,36071001601,MIDDLETOWN CITY SD,441000,41.4263439,-74.43585857,ORANGE,88,BELLA VISTA II APARTMENTS LP,2,50,4/4/2018,NEW,53.00-6-11.2,18,100,42,547138.2140565634,4586240.58603993
BELLA VISTA II,"48-52 COUNTY RTE 78, MIDDLETOWN, 10940",20166019-02026,0249507,DEVON MANAGEMENT CORPORATION,NA (Outside NYC),,36071001601,MIDDLETOWN CITY SD,441000,41.4263439,-74.43585857,ORANGE,88,BELLA VISTA II APARTMENTS LP,2,38,5/23/2018,NEW,53.00-6-11.2,18,100,42,547138.2140565634,4586240.58603993
BELLAMY COMMONS,"1490 JEFFERSON AVE, BUFFALO, 14208",20136073-01980,0233511,BELMONT HOUSING RESOURCES FOR WNY,NA (Outside NYC),,36029016802,BUFFALO CITY SD,140600,42.91602075,-78.854576,ERIE,30,BELLAMY COMMONS LLC,1,30,6/30/2016,REHAB,100.33-5-6.1,26,141,63,185374.7708859509,4758701.168074267
BELLAMY HILL APARTMENTS,"1 COLUMBUS AVE, MOUNT MORRIS, 14510",20146083-01988,0210766,,NA (Outside NYC),,36051030900,MT MORRIS CSD,240901,42.73431741,-77.87801183,LIVINGSTON,36,"BELLAMY HILL APARTMENTS COMPANY, LP",4,8,12/20/2016,REHAB,106.10-2-27.1,24,133,54,264401.8406772422,4735329.020641224
BELLAMY HILL APARTMENTS,"1 COLUMBUS AVE, MOUNT MORRIS, 14510",20146083-01988,0210767,,NA (Outside NYC),,36051030900,MT MORRIS CSD,240901,42.73431741,-77.87801183,LIVINGSTON,36,"BELLAMY HILL APARTMENTS COMPANY, LP",4,8,12/20/2016,REHAB,106.10-2-27.1,24,133,54,264401.8406772422,4735329.020641224
BELLAMY HILL APARTMENTS,"1 COLUMBUS AVE, MOUNT MORRIS, 14510",20146083-01988,0210768,,NA (Outside NYC),,36051030900,MT MORRIS CSD,240901,42.73431741,-77.87801183,LIVINGSTON,36,"BELLAMY HILL APARTMENTS COMPANY, LP",4,8,12/20/2016,REHAB,106.10-2-27.1,24,133,54,264401.8406772422,4735329.020641224
BELLAMY HILL APARTMENTS,"1 COLUMBUS AVE, MOUNT MORRIS, 14510",20146083-01988,0210769,,NA (Outside NYC),,36051030900,MT MORRIS CSD,240901,42.73431741,-77.87801183,LIVINGSTON,36,"BELLAMY HILL APARTMENTS COMPANY, LP",4,12,12/20/2016,REHAB,106.10-2-27.1,24,133,54,264401.8406772422,4735329.020641224
BELMONT ARTHUR AVENUE LDC,"1791 PROSPECT AVE, BRONX, 10457",19900923-01227,0001921,BELMONT ARTHUR AVENUE LDC,2009935,,36005036902,NYC GEOG DIST #12 - BRONX,321200,40.84147495,-73.89191568,BRONX,67,CROTONA PARK NORTH II APTS. HDFC,1,67,11/8/1992,REHAB,2-2948-44,15,79,32,593415.3646968262,4521750.298396901
BELMONT GARDENS,"628 ELDERT LN, Brooklyn, 11208",20116002-01915,0214027,THE WAVECREST MANAGEMENT TEAM,3413859,,36047120000,NYC GEOG DIST #19 - BROOKLYN,331900,40.67484291,-73.86428947,KINGS,64,BELMONT GARDENS LLC,1,64,8/13/2013,NEW,3-4257-6,7,60,19,595983.8035119401,4503282.623107899
BELMONT VILLAS LLC,"409 WYANDANCH AVE, BABYLON, 11704",20030489-01786,0012509,"BELMONT VILLAS MANAGING MEMBER, LLC",NA (Outside NYC),,36103122501,WYANDANCH UFSD,580109,40.74182501,-73.34819132,SUFFOLK,164,"HCP BELMONT, LLC",9,24,2/26/2009,NEW,83.00-4-98.1,2,11,4,639463.1904528921,4511410.072343917
BELMONT VILLAS LLC,"409 WYANDANCH AVE, BABYLON, 11704",20030489-01786,0015185,"BELMONT VILLAS MANAGING MEMBER, LLC",NA (Outside NYC),,36103122501,WYANDANCH UFSD,580109,40.74182501,-73.34819132,SUFFOLK,164,"HCP BELMONT, LLC",9,24,2/26/2009,NEW,83.00-4-98.1,2,11,4,639463.1904528921,4511410.072343917
BELMONT VILLAS LLC,"409 WYANDANCH AVE, BABYLON, 11704",20030489-01786,0023556,"BELMONT VILLAS MANAGING MEMBER, LLC",NA (Outside NYC),,36103122501,WYANDANCH UFSD,580109,40.74182501,-73.34819132,SUFFOLK,164,"HCP BELMONT, LLC",9,24,2/26/2009,NEW,83.00-4-98.1,2,11,4,639463.1904528921,4511410.072343917
BELMONT VILLAS LLC,"409 WYANDANCH AVE, BABYLON, 11704",20030489-01786,0046788,"BELMONT VILLAS MANAGING MEMBER, LLC",NA (Outside NYC),,36103122501,WYANDANCH UFSD,580109,40.74182501,-73.34819132,SUFFOLK,164,"HCP BELMONT, LLC",9,24,2/26/2009,NEW,83.00-4-98.1,2,11,4,639463.1904528921,4511410.072343917
BELMONT VILLAS LLC,"409 WYANDANCH AVE, BABYLON, 11704",20030489-01786,0046789,"BELMONT VILLAS MANAGING MEMBER, LLC",NA (Outside NYC),,36103122501,WYANDANCH UFSD,580109,40.74182501,-73.34819132,SUFFOLK,164,"HCP BELMONT, LLC",9,16,2/26/2009,NEW,83.00-4-98.1,2,11,4,639463.1904528921,4511410.072343917
BELMONT VILLAS LLC,"409 WYANDANCH AVE, BABYLON, 11704",20030489-01786,0048141,"BELMONT VILLAS MANAGING MEMBER, LLC",NA (Outside NYC),,36103122501,WYANDANCH UFSD,580109,40.74182501,-73.34819132,SUFFOLK,164,"HCP BELMONT, LLC",9,14,4/9/2009,NEW,83.00-4-98.1,2,11,4,639463.1904528921,4511410.072343917
BELMONT VILLAS LLC,"409 WYANDANCH AVE, BABYLON, 11704",20030489-01786,0147775,"BELMONT VILLAS MANAGING MEMBER, LLC",NA (Outside NYC),,36103122501,WYANDANCH UFSD,580109,40.74182501,-73.34819132,SUFFOLK,164,"HCP BELMONT, LLC",9,14,4/11/2009,NEW,83.00-4-98.1,2,11,4,639463.1904528921,4511410.072343917
BELMONT VILLAS LLC,"409 WYANDANCH AVE, BABYLON, 11704",20030489-01786,0171200,"BELMONT VILLAS MANAGING MEMBER, LLC",NA (Outside NYC),,36103122501,WYANDANCH UFSD,580109,40.74182501,-73.34819132,SUFFOLK,164,"HCP BELMONT, LLC",9,20,4/9/2009,NEW,83.00-4-98.1,2,11,4,639463.1904528921,4511410.072343917
